Title,Brand,Category,Year,Price
თელავური,თელავის ღვინის მარანი,"ღვინო, მშრალი, თეთრი",2019,6.90
რქაწითელი,თელავის ღვინის მარანი,"ღვინო, მშრალი, თეთრი",2019,7.80
წინანდალი,ბადაგონი,"ღვინო, ნახევრად მშრალი, თეთრი",2018,7.90
მანავი,ბადაგონი,"ღვინო, მშრალი, თეთრი",2017,8.00
ალაზნის ველი,ბადაგონი,"ღვინო, ნახევრად ტკბილი, თეთრი",2018,8.00
ალაზნის ველი,თელავის ღვინის მარანი,"ღვინო, ნახევრად ტკბილი, თეთრი",2018,8.50
ფიროსმანი,ბადაგონი,"ღვინო, ნახევრად მშრალი, თეთრი",2018,8.50
რქაწითელი,მეღვინეობა შილდა,"ღვინო, მშრალი, თეთრი",2015,8.80
რქაწითელი-შარდონე,თელავის ღვინის მარანი,"ღვინო, მშრალი, თეთრი",2017,8.80
ალაზნის ველი,მეღვინეობა შილდა,"ღვინო, ნახევრად ტკბილი, თეთრი",2018,9.20
ალაზნის ველი,ღვინის კომპანია შუმი,"ღვინო, ნახევრად ტკბილი, თეთრი",2018,9.20
მწვანე,მეღვინეობა შილდა,"ღვინო, მშრალი, თეთრი",2015,9.50
ფიროსმანი,ბადაგონი,"ღვინო, ნახევრად მშრალი, წითელი",2018,9.50
ალაზნის ველი,ბადაგონი,"ღვინო, ნახევრად ტკბილი, წითელი",2018,9.60
მაესტრო ბრუტი,ბადაგონი,"ღვინო, ცქრიალა ღვინო, თეთრი",2018,9.70
მაესტრო ნახევრად ტკბილი,ბადაგონი,"ღვინო, ცქრიალა ღვინო, თეთრი",2018,9.70
მაესტრო ნახევრად მშრალი,ბადაგონი,"ღვინო, ცქრიალა ღვინო, თეთრი",2019,9.70
მაესტრო როზე,ბადაგონი,"ღვინო, ცქრიალა ღვინო, როზე",2019,9.70
მწვანე,თელავის ღვინის მარანი,"ღვინო, მშრალი, თეთრი",2018,10.00
წინანდალი,თელავის ღვინის მარანი,"ღვინო, მშრალი, თეთრი",2018,10.60
ცოლიკაური,მილდიანი,"ღვინო, მშრალი, თეთრი",2016,10.80
საფერავი,ბადაგონი,"ღვინო, მშრალი, წითელი",2018,10.80
წინანდალი,მეღვინეობა შილდა,"ღვინო, მშრალი, თეთრი",2015,10.90
ალაზნის ველი,თელავის ღვინის მარანი,"ღვინო, ნახევრად ტკბილი, წითელი",2018,11.40
თეთრი ნახევრად ტკბილი,თელავის ღვინის მარანი,"ღვინო, ცქრიალა ღვინო, თეთრი",2019,11.40
თეთრი ბრუტი,თელავის ღვინის მარანი,"ღვინო, ცქრიალა ღვინო, თეთრი",2019,11.40
თეთრი ნახევრად მშრალი,თელავის ღვინის მარანი,"ღვინო, ცქრიალა ღვინო, თეთრი",2019,11.40
ახაშენი,ბადაგონი,"ღვინო, ნახევრად ტკბილი, წითელი",2019,11.40
ფიროსმანი,თელავის ღვინის მარანი,"ღვინო, ნახევრად მშრალი, წითელი",2018,11.50
ფიროსმანი როზე,თელავის ღვინის მარანი,"ღვინო, ნახევრად მშრალი, როზე",2018,11.50
ალაზნის ველი,თბილღვინო,"ღვინო, ნახევრად ტკბილი, წითელი",2019,11.50
წინანდალი,ღვინის კომპანია შუმი,"ღვინო, მშრალი, თეთრი",2018,11.50
რქაწითელი,შუხმან ვაინს ჯორჯია,"ღვინო, ნახევრად მშრალი, თეთრი",2018,11.50
საფერავი როზე,თელავის ღვინის მარანი,"ღვინო, მშრალი, როზე",2019,12.10
ალაზნის ველი როზე,თელავის ღვინის მარანი,"ღვინო, ნახევრად ტკბილი, როზე",2018,12.20
წინანდალი,თბილღვინო,"ღვინო, მშრალი, თეთრი",2018,12.20
როზე ბრუტი,თელავის ღვინის მარანი,"ღვინო, ცქრიალა ღვინო, როზე",2019,12.50
როზე ნახევრად ტკბილი,თელავის ღვინის მარანი,"ღვინო, ცქრიალა ღვინო, როზე",2019,12.50
როზე ნახევრად მშრალი,თელავის ღვინის მარანი,"ღვინო, ცქრიალა ღვინო, როზე",2019,12.50
საფერავი,ღვინის კომპანია შუმი,"ღვინო, მშრალი, წითელი",2018,12.60
